obstacle_density,map_height,num_uavs,algorithm,variant,coverage_mean,pa_mean,steps_mean
0.0,8,1,q-learning,global,0.9630000000000001,0.058499999999999996,842.3
0.0,8,1,q-learning,per_uav,0.918,0.061,972.45
0.0,8,1,qmix,global,0.7386666666666666,0.07722222222222223,853.5
0.0,8,2,q-learning,global,0.989,0.055,720.05
0.0,8,2,q-learning,per_uav,0.995,0.058,616.8
0.0,8,2,qmix,global,0.959,0.053,743.1
0.0,8,3,q-learning,global,0.9984999999999999,0.0635,448.5
0.0,8,3,q-learning,per_uav,0.964,0.0615,717.65
0.0,8,3,qmix,global,0.995,0.073,425.6
0.0,9,1,q-learning,global,0.9265000000000001,0.0775,979.55
0.0,9,1,q-learning,per_uav,0.9650000000000001,0.0685,701.15
0.0,9,1,qmix,global,0.764,0.065,968.0
0.0,9,2,q-learning,global,0.9855,0.055,807.1
0.0,9,2,q-learning,per_uav,0.9615,0.067,901.5
0.0,9,2,qmix,global,0.947,0.056,803.1
0.0,9,3,q-learning,global,0.9895,0.058499999999999996,679.35
0.0,9,3,q-learning,per_uav,0.997,0.059,581.9
0.0,9,3,qmix,global,0.993,0.069,506.6
0.0,12,4,qmix,global,1.0,0.07100000000000001,568.2
0.0,12,6,qmix,global,0.999,0.057,734.5
0.0,12,8,qmix,global,1.0,0.07133333333333333,268.7
0.0,16,4,qmix,global,0.8007142857142858,0.03271428571428572,1771.5714285714287
0.0,16,6,qmix,global,1.0,0.049,1065.3
0.0,24,4,qmix,global,0.8448,0.0606,1994.3200000000002
0.0,24,6,qmix,global,0.979,0.05,1893.1
0.05,12,4,qmix,global,0.951,0.0565,733.2
0.05,12,6,qmix,global,0.951,0.052,551.0
0.05,16,4,qmix,global,0.944,0.045,1516.2
0.05,16,6,qmix,global,0.953,0.051,881.2
0.05,24,4,qmix,global,0.9115,0.065,1995.9
0.05,24,6,qmix,global,0.94,0.047,1908.5
0.1,8,1,q-learning,global,0.875,0.048,1629.1
0.1,8,1,q-learning,per_uav,0.862,0.038,1700.5
0.1,8,1,qmix,global,0.6223333333333333,0.041277777777777774,1576.0611111111111
0.1,8,2,q-learning,global,0.902,0.054,828.7
0.1,8,2,q-learning,per_uav,0.899,0.053,938.2
0.1,8,2,qmix,global,0.8815,0.0415,1175.775
0.1,8,3,q-learning,global,0.906,0.038,612.7
0.1,8,3,q-learning,per_uav,0.904,0.05,641.3
0.1,8,3,qmix,global,0.9,0.052,669.4
0.1,9,1,q-learning,global,0.862,0.039,1848.9
0.1,9,1,q-learning,per_uav,0.835,0.037,1875.9
0.1,9,1,qmix,global,0.768,0.038,1801.6
0.1,9,2,q-learning,global,0.884,0.034,1462.8
0.1,9,2,q-learning,per_uav,0.89,0.037,1301.3
0.1,9,2,qmix,global,0.863,0.033,1435.2
0.1,9,3,q-learning,global,0.9,0.043,742.3
0.1,9,3,q-learning,per_uav,0.9,0.048,759.4
0.1,9,3,qmix,global,0.901,0.05,636.1
0.1,12,4,qmix,global,0.902,0.048,800.0
0.1,12,6,qmix,global,0.903,0.049,522.9
0.1,16,4,qmix,global,0.889,0.038,1621.0
0.1,16,6,qmix,global,0.902,0.043,1026.8
0.1,24,4,qmix,global,0.8160000000000001,0.058499999999999996,1999.2
0.1,24,6,qmix,global,0.882,0.043,1958.4
0.2,12,4,qmix,global,0.799,0.014,1969.8
0.2,12,6,qmix,global,0.799,0.010499999999999999,1933.65
0.2,16,4,qmix,global,0.767,0.024,1997.1
0.2,16,6,qmix,global,0.794,0.017,1978.6
0.2,24,4,qmix,global,0.6754,0.047799999999999995,2000.0
0.2,24,6,qmix,global,0.763,0.036,1997.2
